Best Validation IoU: 0.2571
Total Training Time: 1094.10 seconds
Epoch 99: Train Loss=0.5620, Val Loss=0.7932, Train IoU=0.5331, Val IoU=0.2530
Epoch 100: Train Loss=0.5653, Val Loss=0.7872, Train IoU=0.5337, Val IoU=0.2571
Epoch 101: Train Loss=0.5647, Val Loss=0.7933, Train IoU=0.5296, Val IoU=0.2560
Epoch 102: Train Loss=0.5617, Val Loss=0.7840, Train IoU=0.5317, Val IoU=0.2564
Epoch 103: Train Loss=0.5671, Val Loss=0.7913, Train IoU=0.5258, Val IoU=0.2546
Epoch 104: Train Loss=0.5558, Val Loss=0.7937, Train IoU=0.5389, Val IoU=0.2550
Epoch 105: Train Loss=0.5572, Val Loss=0.7896, Train IoU=0.5431, Val IoU=0.2563
Epoch 106: Train Loss=0.5560, Val Loss=0.8034, Train IoU=0.5393, Val IoU=0.2494
Epoch 107: Train Loss=0.5565, Val Loss=0.7919, Train IoU=0.5375, Val IoU=0.2547
Epoch 108: Train Loss=0.5634, Val Loss=0.8007, Train IoU=0.5417, Val IoU=0.2538
Epoch 109: Train Loss=0.5576, Val Loss=0.7896, Train IoU=0.5308, Val IoU=0.2556
Epoch 110: Train Loss=0.5553, Val Loss=0.7931, Train IoU=0.5356, Val IoU=0.2542
Epoch 111: Train Loss=0.5581, Val Loss=0.7928, Train IoU=0.5480, Val IoU=0.2542
Epoch 112: Train Loss=0.5607, Val Loss=0.7937, Train IoU=0.5334, Val IoU=0.2558
Epoch 113: Train Loss=0.5576, Val Loss=0.7857, Train IoU=0.5374, Val IoU=0.2541
Epoch 114: Train Loss=0.5630, Val Loss=0.7999, Train IoU=0.5389, Val IoU=0.2520
Epoch 115: Train Loss=0.5513, Val Loss=0.7895, Train IoU=0.5383, Val IoU=0.2542
Epoch 116: Train Loss=0.5611, Val Loss=0.7987, Train IoU=0.5400, Val IoU=0.2525
Epoch 117: Train Loss=0.5636, Val Loss=0.7971, Train IoU=0.5316, Val IoU=0.2545
Epoch 118: Train Loss=0.5552, Val Loss=0.7868, Train IoU=0.5408, Val IoU=0.2557
Epoch 119: Train Loss=0.5523, Val Loss=0.7904, Train IoU=0.5398, Val IoU=0.2528
Epoch 120: Train Loss=0.5587, Val Loss=0.7846, Train IoU=0.5354, Val IoU=0.2557
Epoch 121: Train Loss=0.5560, Val Loss=0.7935, Train IoU=0.5345, Val IoU=0.2545
Epoch 122: Train Loss=0.5568, Val Loss=0.7907, Train IoU=0.5418, Val IoU=0.2570
Epoch 123: Train Loss=0.5554, Val Loss=0.7899, Train IoU=0.5364, Val IoU=0.2552
Epoch 124: Train Loss=0.5567, Val Loss=0.7977, Train IoU=0.5426, Val IoU=0.2535
Epoch 125: Train Loss=0.5568, Val Loss=0.7892, Train IoU=0.5314, Val IoU=0.2558
Epoch 126: Train Loss=0.5566, Val Loss=0.7873, Train IoU=0.5381, Val IoU=0.2543
Epoch 127: Train Loss=0.5551, Val Loss=0.7901, Train IoU=0.5446, Val IoU=0.2527
Epoch 128: Train Loss=0.5688, Val Loss=0.8010, Train IoU=0.5296, Val IoU=0.2506
Epoch 129: Train Loss=0.5555, Val Loss=0.7951, Train IoU=0.5379, Val IoU=0.2542
