Best validation IoU: 0.1699
Total training time: 1325.61 seconds
Epoch 121: Train Loss=0.6797, Val Loss=0.9027, Train IoU=0.2660, Val IoU=0.1672
Epoch 122: Train Loss=0.6829, Val Loss=0.8997, Train IoU=0.2682, Val IoU=0.1697
Epoch 123: Train Loss=0.6766, Val Loss=0.9000, Train IoU=0.2691, Val IoU=0.1681
Epoch 124: Train Loss=0.6793, Val Loss=0.9069, Train IoU=0.2746, Val IoU=0.1658
Epoch 125: Train Loss=0.6828, Val Loss=0.9025, Train IoU=0.2629, Val IoU=0.1682
Epoch 126: Train Loss=0.6806, Val Loss=0.9011, Train IoU=0.2666, Val IoU=0.1637
Epoch 127: Train Loss=0.6788, Val Loss=0.8996, Train IoU=0.2697, Val IoU=0.1666
Epoch 128: Train Loss=0.6850, Val Loss=0.9023, Train IoU=0.2685, Val IoU=0.1652
Epoch 129: Train Loss=0.6811, Val Loss=0.9077, Train IoU=0.2727, Val IoU=0.1653
Epoch 130: Train Loss=0.6812, Val Loss=0.9062, Train IoU=0.2685, Val IoU=0.1673
Epoch 131: Train Loss=0.6863, Val Loss=0.9033, Train IoU=0.2699, Val IoU=0.1653
Epoch 132: Train Loss=0.6739, Val Loss=0.9004, Train IoU=0.2658, Val IoU=0.1656
Epoch 133: Train Loss=0.6814, Val Loss=0.9046, Train IoU=0.2664, Val IoU=0.1685
Epoch 134: Train Loss=0.6745, Val Loss=0.9069, Train IoU=0.2699, Val IoU=0.1649
Epoch 135: Train Loss=0.6749, Val Loss=0.8978, Train IoU=0.2744, Val IoU=0.1687
Epoch 136: Train Loss=0.6761, Val Loss=0.9068, Train IoU=0.2660, Val IoU=0.1638
Epoch 137: Train Loss=0.6772, Val Loss=0.9005, Train IoU=0.2752, Val IoU=0.1672
Epoch 138: Train Loss=0.6792, Val Loss=0.8956, Train IoU=0.2663, Val IoU=0.1666
Epoch 139: Train Loss=0.6858, Val Loss=0.9014, Train IoU=0.2626, Val IoU=0.1690
Epoch 140: Train Loss=0.6810, Val Loss=0.8982, Train IoU=0.2670, Val IoU=0.1678
Epoch 141: Train Loss=0.6797, Val Loss=0.9045, Train IoU=0.2706, Val IoU=0.1673
Epoch 142: Train Loss=0.6781, Val Loss=0.9038, Train IoU=0.2674, Val IoU=0.1634
Epoch 143: Train Loss=0.6791, Val Loss=0.9018, Train IoU=0.2738, Val IoU=0.1664
Epoch 144: Train Loss=0.6885, Val Loss=0.8968, Train IoU=0.2635, Val IoU=0.1661
Epoch 145: Train Loss=0.6822, Val Loss=0.9072, Train IoU=0.2702, Val IoU=0.1677
Epoch 146: Train Loss=0.6796, Val Loss=0.9052, Train IoU=0.2741, Val IoU=0.1682
Epoch 147: Train Loss=0.6831, Val Loss=0.9082, Train IoU=0.2661, Val IoU=0.1661
Epoch 148: Train Loss=0.6814, Val Loss=0.9091, Train IoU=0.2679, Val IoU=0.1654
